run,trace,n_tokens,mean_kl,median_kl,q90_kl,q95_kl,q99_kl,max_kl,above_005,above_005_rate,above_2,above_2_rate
Clipped,trace_0024_15371_gen24,1024,1.1363113902990891,0.36134666204452515,3.1088166475296024,4.89149060249328,9.336035423278805,25.2523193359375,684,0.66796875,184,0.1796875
No-clip,trace_0024_15371_gen24,1024,0.07045176809615353,0.004218661226332188,0.11185679286718375,0.24248986542224804,0.6829678612947455,20.5076961517334,195,0.1904296875,4,0.00390625
No-think + no-clip,trace_0024_15371_gen24,1024,0.08560952906908835,0.004367528948932886,0.16234720349311837,0.3116594314575187,1.1298316812515234,7.784454345703125,224,0.21875,8,0.0078125
Clipped,trace_0025_10349_gen25,1024,0.1298801474170207,0.013556777033954859,0.31925785243511207,0.45631774067878716,1.123583029508588,20.790496826171875,401,0.3916015625,2,0.001953125
No-clip,trace_0025_10349_gen25,1024,0.12568891964739784,0.0038939459482207894,0.21038786172866838,0.4063420191407203,2.127199182510371,22.048694610595703,289,0.2822265625,11,0.0107421875
No-think + no-clip,trace_0025_10349_gen25,1024,0.06803848506490104,0.0035522771067917347,0.15273024290800094,0.25938423573970754,0.9558421623706808,4.740457057952881,241,0.2353515625,5,0.0048828125
Clipped,trace_0026_24419_gen26,1024,1.2854318001274374,0.12438181042671204,4.063668966293335,5.6850742816925015,9.51945895195007,29.712255477905273,558,0.544921875,232,0.2265625
No-clip,trace_0026_24419_gen26,1024,0.14458776872176332,0.0019423048943281174,0.218614374101162,0.47259835302829617,1.9739790153503383,21.981618881225586,231,0.2255859375,11,0.0107421875
No-think + no-clip,trace_0026_24419_gen26,498,0.03366597789317023,9.196449354931246e-06,0.029489625245332732,0.08300342187285403,0.5151600664854041,5.7808732986450195,38,0.07630522088353414,2,0.004016064257028112
Clipped,trace_0027_26194_gen27,1024,1.1671397190357102,0.0907575860619545,3.5118204832077033,5.497404742240906,10.385585641860962,33.48689651489258,544,0.53125,200,0.1953125
No-clip,trace_0027_26194_gen27,1024,0.0804934766393305,0.0001372911938233301,0.11826659217476847,0.23960623145103452,1.1076374042034147,21.281829833984375,182,0.177734375,4,0.00390625
No-think + no-clip,trace_0027_26194_gen27,580,0.03282644720317298,2.1933983589406125e-05,0.058640053495764746,0.12591489851474758,0.9416985225677565,1.330631136894226,65,0.11206896551724138,0,0.0
Clipped,trace_0028_16928_gen28,1024,0.19926000692348148,0.05130743607878685,0.42761477231979383,0.6832414507865895,1.9276249337196347,14.9780855178833,515,0.5029296875,10,0.009765625
No-clip,trace_0028_16928_gen28,1024,0.11111360415691515,0.007704447023570538,0.21290935128927244,0.3530025318264961,1.2583092176914206,17.68037986755371,289,0.2822265625,7,0.0068359375
No-think + no-clip,trace_0028_16928_gen28,1024,0.0548469091136086,0.0007898093317635357,0.11809223592281345,0.26494262367486954,0.8808901375532147,3.965458869934082,171,0.1669921875,3,0.0029296875
Clipped,trace_0029_2383_gen29,1024,0.5634634317004156,0.024229351431131363,1.5734776735305789,2.72915198802948,5.834950413703917,25.124177932739258,457,0.4462890625,85,0.0830078125
No-clip,trace_0029_2383_gen29,1024,0.20833998117463484,0.007645227015018463,0.3455528348684313,0.8546620398759822,3.170464828014372,18.543811798095703,334,0.326171875,25,0.0244140625
No-think + no-clip,trace_0029_2383_gen29,767,0.1400069509138227,0.00816202163696289,0.27528471946716304,0.5733728647232049,2.30546927452088,6.340402603149414,233,0.30378096479791394,12,0.01564537157757497
